Title,URL,Image_URL,Synopsis,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
Hunter x Hunter: Greed Island,https://myanimelist.net/anime/138/Hunter_x_Hunter__Greed_Island,https://cdn.myanimelist.net/images/anime/1902/122320.jpg,"After the battle with the Spiders, the search for Ging continues as Gon and Killua decided to once again attempt to purchase the rare game ""Greed Island."" However, Gon came up with a better plan, which was to volunteer to complete the game for the billionaire who owned it. But some training must be done, as Gon and Killua's abilities are still at a developing stage and ""Greed Island"" is no simple game for anyone to play with. It is the infamous game that could easily lead to one's death. Based on the manga by Togashi Yoshihiro.",OVA,8,Finished Airing,"Feb 5, 2003 to Apr 16, 2003",,,,,Nippon Animation,Manga,"Action, Adventure, Fantasy",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,8.19,4662.0,#1521,"183,105",325
Jujutsu Kaisen: Kaigyoku/Gyokusetsu,https://myanimelist.net/anime/59654/Jujutsu_Kaisen__Kaigyoku_Gyokusetsu,https://cdn.myanimelist.net/images/anime/1999/147023.jpg,A compilation movie of Jujutsu Kaisen's Hidden Inventory and Premature Death arc.,Movie,1,Finished Airing,"May 30, 2025",,,dugout,GKIDS,MAPPA,Manga,"Action, Supernatural",Shounen,1 hr. 50 min.,R - 17+ (violence & profanity),8.19,4672.0,#3204,"62,066",332
K-On!!,https://myanimelist.net/anime/7791/K-On,https://cdn.myanimelist.net/images/anime/12/76121.jpg,"It is the new year, which means that the senior members of the Light Music Club are now third-years, with Azusa Nakano being the only second-year. The seniors soon realize that Azusa will be the only member left once they graduate and decide to recruit new members. Despite trying many methods of attracting underclassmen—handing out fliers, bringing people into the clubroom, and performing at the welcoming ceremony—there are no signs of anyone that plans to join. While heading to the clubroom, Azusa overhears Yui Hirasawa say that the club is fine with only five people and that they can do many fun things together. Changing her mind, she decides that they do not need to recruit any members for the time being. K-On!! revolves around the members of the Light Music Club as they experience their daily high school life. From rehearsing for concerts to just messing around, they are ready to make their last year together an exciting one! [Written by MAL Rewrite]",TV,26,Finished Airing,"Apr 7, 2010 to Sep 29, 2010",Spring 2010,Wednesdays at 01:25 (JST),"Pony Canyon, TBS, Movic, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,4-koma manga,"Award Winning, Comedy",,24 min. per ep.,PG-13 - Teens 13 or older,8.19,4682.0,#307,"755,842","15,402"
Little Busters! Refrain,https://myanimelist.net/anime/18195/Little_Busters_Refrain,https://cdn.myanimelist.net/images/anime/10/55049.jpg,"Following the Little Busters after they lost their first baseball game, the team decides to have a pancake party. It has been almost one semester since the return of Kyousuke Natsume. As usual, Riki Naoe continues to help the Little Busters' members—both old and new—with confronting their inner struggles. However, strange happenings begin to occur, leading Rin Natsume and Riki closer to unraveling the truth behind the ""secret of this world."" Little do Rin and Rikki know, their discovery will end up changing the peaceful everyday lives created by the Little Busters once and for all. Little Busters!: Refrain brings a conclusion to the colorful stories of its ensemble cast—forged with the weight of emotions and strengthened with the bond of friendship—as they come to terms with their regrets and weaknesses. [Written by MAL Rewrite]",TV,13,Finished Airing,"Oct 5, 2013 to Dec 28, 2013",Fall 2013,Saturdays at 20:30 (JST),"Warner Bros. Japan, Showgate",Sentai Filmworks,J.C.Staff,Visual novel,"Comedy, Drama, Romance",,24 min. per ep.,PG-13 - Teens 13 or older,8.19,4692.0,#1569,"177,376","2,149"
Made in Abyss Movie 1: Tabidachi no Yoake,https://myanimelist.net/anime/37514/Made_in_Abyss_Movie_1__Tabidachi_no_Yoake,https://cdn.myanimelist.net/images/anime/1173/95167.jpg,"The movie is a compilation of episodes 1-8 of the 2017 television series with new scenes added for the introduction. It covers the period from when Riko descends into the Abyss with her robot companion Reg, reaching the second layer where they meet the White Whistle Ozen who reveals information about Riko's mother. (Source: Wikipedia)",Movie,1,Finished Airing,"Jan 4, 2019",,,"AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Investment, Kadokawa, Global Solutions, IRMA LA DOUCE",Sentai Filmworks,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",,1 hr. 59 min.,R - 17+ (violence & profanity),8.19,4702.0,#1668,"163,714",273
Major S2,https://myanimelist.net/anime/558/Major_S2,https://cdn.myanimelist.net/images/anime/6/73972.jpg,"Gorou Honda has finally returned to Mifune East Junior High School, surprising his friends upon arrival. Now, Gorou is once again surrounded by those he holds closest, and he strives to continue playing and enjoying the game he loves most. However, things do not go as planned, as Gorou is reminded of the harsh realities of baseball as he copes with an injury he sustained while playing baseball at Hitaka Little. Between new rivals, old friends, and mending broken relationships, Gorou must overcome challenges he has never faced before. His goal of attending elite baseball high school Kaido may not be far from his reach, but complicated circumstances may stop him in his tracks once again. How will he deal with the immense pressures of the game? And will he ever be able to find the type of baseball he loves most? [Written by MAL Rewrite]",TV,26,Finished Airing,"Dec 10, 2005 to Jun 10, 2006",Winter 2006,Saturdays at 18:00 (JST),"NHK, NHK Enterprises, Shogakukan Productions",,Studio Hibari,Manga,,Shounen,25 min. per ep.,PG-13 - Teens 13 or older,8.19,4712.0,#2829,"77,123",312
Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan,https://cdn.myanimelist.net/images/anime/7/75199.jpg,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]",TV,,Currently Airing,"Jan 8, 1996 to ?",Winter 1996,Saturdays at 18:00 (JST),"Yomiuri Telecasting, Shogakukan, Audio Planning U, Tokyo Movie, Polydor Records, Zet","Funimation, Crunchyroll",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Shounen,24 min.,PG-13 - Teens 13 or older,8.19,4722.0,#728,"378,961","16,105"
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,https://myanimelist.net/anime/42894/Natsume_Yuujinchou__Ishi_Okoshi_to_Ayashiki_Raihousha,https://cdn.myanimelist.net/images/anime/1992/111560.jpg,"Ishi Okoshi While searching for Nyanko-sensei, Takashi Natsume encounters meek and small-looking youkai Mitsumi. Mitsumi was entrusted by his leader Gantetsu, a powerful and strong ayakashi, to be the year's ""Ishi Okoshi,"" whose role consists of waking him from his deep slumber. Seeing how much Mitsumi wants to prove himself as Gantetsu's worthy servant, Natsume decides to help him fulfill his task. However, time is running out—for they are not the only ones who want to awaken the divine being. Ayashiki Raihousha One day, Natsume's friend Kaname Tanuma is visited by a strange man. In the subsequent days, the visitor briefly talks with Tanuma and leaves. Natsume soon discovers that the outsider is a youkai disguised as a human, who claims to bear no danger. Despite trusting the youkai, Tanuma's health slowly begins to deteriorate, causing Natsume to become more suspicious of the interloper. What is the truth of his sudden appearance and his connection with Tanuma? [Written by MAL Rewrite]",Movie,1,Finished Airing,"Jan 16, 2021",,,"Aniplex, Ai Addiction",,Shuka,Manga,"Slice of Life, Supernatural",Shoujo,51 min.,PG-13 - Teens 13 or older,8.19,4732.0,#3473,"53,910",112
Nomad: Megalo Box 2,https://myanimelist.net/anime/40729/Nomad__Megalo_Box_2,https://cdn.myanimelist.net/images/anime/1190/113352.jpg,"Megalo Box is an advanced form of boxing where competitors wear metal frames called Gear. When the first ever Megalonia tournament took place, ""Gearless"" Joe became its champion and known to all as a legendary fighter. However, soon after, he lost an exhibition match against the second champion and vanished from the public eye. Seven years later, Joe now goes by ""Nomad"" and keeps a low profile, occasionally fighting in a few underground matches to get by. He is haunted by hallucinations and relies on a set of painkillers to numb his mind. During a match, Joe wins against an opponent, Chief, who purposefully loses for some extra cash from gamblers. Subsequently, Joe discovers that Chief is from a community of immigrants called the Casa. Chief is gradually trying to make enough money to purchase the land where they live illegally. At first, Joe hesitates to get involved, but eventually decides to lend the Casa a helping hand. [Written by MAL Rewrite]",TV,13,Finished Airing,"Apr 4, 2021 to Jun 27, 2021",Spring 2021,Sundays at 23:00 (JST),"Kodansha, Tohokushinsha Film Corporation, Bandai Namco Arts",Funimation,TMS Entertainment,Original,"Sci-Fi, Sports",,24 min. per ep.,R - 17+ (violence & profanity),8.19,4742.0,#1230,"231,263","2,254"
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,https://myanimelist.net/anime/19123/One_Piece__Episode_of_Merry_-_Mou_Hitori_no_Nakama_no_Monogatari,https://cdn.myanimelist.net/images/anime/9/61015.jpg,"After Brook questions the origin of the Mini Merry name, Usopp and Chopper Tony Tony recall the adventures of the Straw Hat Crew's beloved ship, friend, and crew member—the Going Merry. Usopp abandons the crew for a fight over the Going Merry while Robin Nico leaves with the government's top assassin group, CP9. In order to bring the crew back together, Monkey D. Luffy and the remaining Straw Hats follow Robin to rescue her from the claws of the World Government. [Written by MAL Rewrite]",TV Special,1,Finished Airing,"Aug 24, 2013",,,Fuji TV,,Toei Animation,Manga,"Action, Adventure, Fantasy",Shounen,1 hr. 46 min.,PG-13 - Teens 13 or older,8.19,4752.0,#2745,"81,267",82
Sasaki to Miyano,https://myanimelist.net/anime/44055/Sasaki_to_Miyano,https://cdn.myanimelist.net/images/anime/1182/119308.jpg,"Yoshikazu Miyano's troubles first start one hot summer day when Shuumei Sasaki steps into his life. Sasaki saves Miyano's classmate from a group of bullies, and after that, Miyano cannot seem to shake off his eccentric upperclassman. His silent admiration for Sasaki gradually sours into annoyance each time the so-called delinquent refuses to leave him alone. Constantly being called by cute nicknames and having his boundaries ignored, Miyano wonders why Sasaki wants to get close to him. The shy and easily flustered Miyano harbors an embarrassing secret—he is a ""fudanshi,"" a boy who likes boys' love (BL) manga. The last thing he wants is for other students to find out, but through a slip of the tongue, he reveals the truth to Sasaki. Intrigued, the clueless Sasaki asks to borrow a book to read, which he is given very reluctantly. To Miyano's surprise, Sasaki enjoys the BL that he receives and asks for more, marking a shift in their strange dynamic. Although Sasaki appears to possess some personal agenda, his feelings for Miyano become complicated the more time they spend together. As they now share a common interest, their relationship is poised to change and further develop. [Written by MAL Rewrite]",TV,12,Finished Airing,"Jan 10, 2022 to Mar 28, 2022",Winter 2022,Mondays at 00:30 (JST),"Frontier Works, Movic, Nippon Columbia, Sound Team Don Juan, TV Aichi, Kadokawa Media House, U-NEXT, BS NTV, Kadokawa",,Studio Deen,Web manga,,,23 min. per ep.,PG-13 - Teens 13 or older,8.19,4762.0,#1192,"238,765","5,688"
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,https://myanimelist.net/anime/4107/Tengen_Toppa_Gurren_Lagann_Movie_1__Gurren-hen,https://cdn.myanimelist.net/images/anime/1270/115752.jpg,"Animation studio Gainax presented a website for the release of a movie adaptation of the Tengen Toppa Gurren Lagann TV series in the fall of 2008. Both the original director and series script editor will return to work on the new project. Gainax will also be hosting four events to celebrate this occasion at this year's Tokyo International Anime Fair, featuring voice actors from the anime.",Movie,1,Finished Airing,"Sep 6, 2008",,,Aniplex,Aniplex of America,Gainax,Original,,,1 hr. 52 min.,PG-13 - Teens 13 or older,8.19,4772.0,#1443,"193,450",472
